domain,method,n_topics,iterations,initial_ctr,final_ctr,auc_mean_ctr,peak_ctr,final_improvement,peak_improvement,trajectory_peak_ctr,cumulative_regret
ecommerce,bandit_epsilon,10,15,0.005551999999999969,0.00788399999999996,0.0072906666666666415,0.008755999999999969,0.0023319999999999903,0.003204,0.00849999999999998,0.005920000000000041
ecommerce,bandit_thompson,10,15,0.0053999999999999795,0.007251999999999969,0.007128799999999979,0.008331999999999968,0.0018519999999999897,0.00293199999999999,0.00804399999999998,0.00834799999999994
ecommerce,bandit_ucb,10,15,0.00545599999999998,0.00744399999999998,0.007268266666666641,0.008647999999999989,0.0019879999999999997,0.00319200000000001,0.00828399999999999,0.006256000000000031
wikipedia,bandit_epsilon,10,15,0.01060799999999997,0.01018799999999999,0.010781066666666641,0.012459999999999982,-0.0004199999999999801,0.0018520000000000103,0.01184799999999997,0.012444000000000049
wikipedia,bandit_thompson,10,15,0.00991599999999995,0.01034799999999998,0.010774133333333312,0.01244799999999997,0.00043200000000003,0.0025320000000000203,0.011387999999999959,0.012548
wikipedia,bandit_ucb,10,15,0.010395999999999971,0.01058799999999999,0.01093653333333332,0.012595999999999979,0.00019200000000002012,0.0022000000000000097,0.01169999999999999,0.01011199999999989
