domain,method,n_topics,iterations,initial_ctr,final_ctr,auc_mean_ctr,peak_ctr,final_improvement,peak_improvement,trajectory_peak_ctr,cumulative_regret
ecommerce,explore_exploit,10,15,0.00538399999999999,0.00692799999999998,0.00674879999999998,0.008067999999999959,0.0015439999999999898,0.00268399999999997,0.00769599999999996,0.011747999999999932
ecommerce,full_ctr,10,15,0.00538399999999999,0.006695999999999999,0.006602666666666647,0.00785199999999998,0.0013120000000000098,0.0024679999999999893,0.00753199999999996,0.013939999999999932
ecommerce,no_drop,10,15,0.00538399999999999,0.00237039517345394,0.0035321300393505914,0.0055253333333333205,-0.00301360482654605,0.00014133333333332998,0.00538399999999999,0.05999804940974077
ecommerce,partial_ctr,10,15,0.00538399999999999,0.00778399999999999,0.007429066666666645,0.008991999999999969,0.0024,0.00360799999999998,0.00865199999999998,0.0015439999999999705
ecommerce,random_ctr,10,15,0.00541999999999998,0.0070919999999999594,0.006892266666666645,0.008271999999999979,0.0016719999999999797,0.0028520000000000004,0.00801599999999999,0.009595999999999962
wikipedia,explore_exploit,10,15,0.01007999999999996,0.010783999999999992,0.010836266666666653,0.01225599999999996,0.00070400000000003,0.002176,0.01171599999999998,0.00831999999999993
wikipedia,full_ctr,10,15,0.01027999999999999,0.01015599999999996,0.01075973333333331,0.012363999999999969,-0.00012400000000003025,0.0020839999999999804,0.01193599999999998,0.009468000000000098
wikipedia,no_drop,10,15,0.01027999999999999,0.00403733783210251,0.005815911588302733,0.01027999999999999,-0.00624266216789748,0.0,0.01027999999999999,0.08362532617545872
wikipedia,partial_ctr,10,15,0.01027999999999999,0.01054399999999997,0.010993066666666652,0.01261999999999996,0.0002639999999999798,0.0023399999999999697,0.012191999999999979,0.0059679999999999395
wikipedia,random_ctr,10,15,0.010192000000000001,0.008372000000000001,0.008954399999999982,0.01108799999999999,-0.0018199999999999998,0.0008959999999999902,0.010192,0.036548
