domain,method,topic,iteration,ctr
wikipedia,no_drop,Stoicism,8,0.004644444444444444
wikipedia,no_drop,Stoicism,9,0.004311111111111111
wikipedia,no_drop,Stoicism,10,0.004555555555555556
wikipedia,no_drop,Stoicism,11,0.004222222222222222
wikipedia,no_drop,Stoicism,12,0.005288888888888889
wikipedia,no_drop,Stoicism,13,0.004599999999999999
wikipedia,no_drop,Stoicism,14,0.004555555555555556
wikipedia,no_drop,The Beatles' rooftop concert,0,0.01452
wikipedia,no_drop,The Beatles' rooftop concert,1,0.011999999999999999
wikipedia,no_drop,The Beatles' rooftop concert,2,0.013266666666666664
wikipedia,no_drop,The Beatles' rooftop concert,3,0.0092
wikipedia,no_drop,The Beatles' rooftop concert,4,0.0078000000000000005
wikipedia,no_drop,The Beatles' rooftop concert,5,0.0082
wikipedia,no_drop,The Beatles' rooftop concert,6,0.008325
wikipedia,no_drop,The Beatles' rooftop concert,7,0.007155555555555556
wikipedia,no_drop,The Beatles' rooftop concert,8,0.0064399999999999995
wikipedia,no_drop,The Beatles' rooftop concert,9,0.0059636363636363645
wikipedia,no_drop,The Beatles' rooftop concert,10,0.005654545454545455
wikipedia,no_drop,The Beatles' rooftop concert,11,0.005818181818181819
wikipedia,no_drop,The Beatles' rooftop concert,12,0.005966666666666665
wikipedia,no_drop,The Beatles' rooftop concert,13,0.0056
wikipedia,no_drop,The Beatles' rooftop concert,14,0.0058
wikipedia,no_drop,Vinson Massif,0,0.00912
wikipedia,no_drop,Vinson Massif,1,0.006933333333333334
wikipedia,no_drop,Vinson Massif,2,0.006914285714285715
wikipedia,no_drop,Vinson Massif,3,0.006257142857142857
wikipedia,no_drop,Vinson Massif,4,0.0049
wikipedia,no_drop,Vinson Massif,5,0.005175
wikipedia,no_drop,Vinson Massif,6,0.00535
wikipedia,no_drop,Vinson Massif,7,0.005
wikipedia,no_drop,Vinson Massif,8,0.005275
wikipedia,no_drop,Vinson Massif,9,0.0056
wikipedia,no_drop,Vinson Massif,10,0.005775000000000001
wikipedia,no_drop,Vinson Massif,11,0.00585
wikipedia,no_drop,Vinson Massif,12,0.004375
wikipedia,no_drop,Vinson Massif,13,0.0058
wikipedia,no_drop,Vinson Massif,14,0.005025
wikipedia,no_drop,__MEAN__,0,0.010280000000000001
wikipedia,no_drop,__MEAN__,1,0.008666666666666666
wikipedia,no_drop,__MEAN__,2,0.008316190476190475
wikipedia,no_drop,__MEAN__,3,0.006662261904761904
wikipedia,no_drop,__MEAN__,4,0.006091349206349206
wikipedia,no_drop,__MEAN__,5,0.005734412698412699
wikipedia,no_drop,__MEAN__,6,0.0056607857142857146
wikipedia,no_drop,__MEAN__,7,0.004924045454545454
wikipedia,no_drop,__MEAN__,8,0.004825478632478632
wikipedia,no_drop,__MEAN__,9,0.004732961926961926
wikipedia,no_drop,__MEAN__,10,0.004279367243867244
wikipedia,no_drop,__MEAN__,11,0.004358373737373737
wikipedia,no_drop,__MEAN__,12,0.00417279156954157
wikipedia,no_drop,__MEAN__,13,0.004496650761003702
wikipedia,no_drop,__MEAN__,14,0.004037337832102538
wikipedia,random_ctr,Artificial Superintelligence,0,0.0064
wikipedia,random_ctr,Artificial Superintelligence,1,0.006320000000000001
wikipedia,random_ctr,Artificial Superintelligence,2,0.0074800000000000005
wikipedia,random_ctr,Artificial Superintelligence,3,0.007719999999999999
wikipedia,random_ctr,Artificial Superintelligence,4,0.0068000000000000005
wikipedia,random_ctr,Artificial Superintelligence,5,0.00556
wikipedia,random_ctr,Artificial Superintelligence,6,0.007959999999999998
wikipedia,random_ctr,Artificial Superintelligence,7,0.00716
wikipedia,random_ctr,Artificial Superintelligence,8,0.00572
wikipedia,random_ctr,Artificial Superintelligence,9,0.004520000000000001
wikipedia,random_ctr,Artificial Superintelligence,10,0.00532
wikipedia,random_ctr,Artificial Superintelligence,11,0.0052
wikipedia,random_ctr,Artificial Superintelligence,12,0.00536
wikipedia,random_ctr,Artificial Superintelligence,13,0.006320000000000001
wikipedia,random_ctr,Artificial Superintelligence,14,0.00536
wikipedia,random_ctr,Carl Jung,0,0.00896
wikipedia,random_ctr,Carl Jung,1,0.007840000000000001
wikipedia,random_ctr,Carl Jung,2,0.00728
wikipedia,random_ctr,Carl Jung,3,0.00824
wikipedia,random_ctr,Carl Jung,4,0.0094
wikipedia,random_ctr,Carl Jung,5,0.005959999999999999
wikipedia,random_ctr,Carl Jung,6,0.007239999999999999
wikipedia,random_ctr,Carl Jung,7,0.007319999999999998
wikipedia,random_ctr,Carl Jung,8,0.00716
wikipedia,random_ctr,Carl Jung,9,0.00756
wikipedia,random_ctr,Carl Jung,10,0.00716
wikipedia,random_ctr,Carl Jung,11,0.008
wikipedia,random_ctr,Carl Jung,12,0.008119999999999999
wikipedia,random_ctr,Carl Jung,13,0.007000000000000001
wikipedia,random_ctr,Carl Jung,14,0.007880000000000002
wikipedia,random_ctr,Friedrich Nietzsche,0,0.016120000000000002
wikipedia,random_ctr,Friedrich Nietzsche,1,0.015639999999999998
wikipedia,random_ctr,Friedrich Nietzsche,2,0.01688
wikipedia,random_ctr,Friedrich Nietzsche,3,0.01668
wikipedia,random_ctr,Friedrich Nietzsche,4,0.015400000000000002
wikipedia,random_ctr,Friedrich Nietzsche,5,0.01356
wikipedia,random_ctr,Friedrich Nietzsche,6,0.014640000000000004
wikipedia,random_ctr,Friedrich Nietzsche,7,0.01336
wikipedia,random_ctr,Friedrich Nietzsche,8,0.014000000000000002
wikipedia,random_ctr,Friedrich Nietzsche,9,0.015359999999999999
wikipedia,random_ctr,Friedrich Nietzsche,10,0.013439999999999999
wikipedia,random_ctr,Friedrich Nietzsche,11,0.01484
wikipedia,random_ctr,Friedrich Nietzsche,12,0.014280000000000001
wikipedia,random_ctr,Friedrich Nietzsche,13,0.014280000000000001
wikipedia,random_ctr,Friedrich Nietzsche,14,0.01532
wikipedia,random_ctr,History of film,0,0.01176
wikipedia,random_ctr,History of film,1,0.01024
wikipedia,random_ctr,History of film,2,0.01148
wikipedia,random_ctr,History of film,3,0.008879999999999999
wikipedia,random_ctr,History of film,4,0.009080000000000001
wikipedia,random_ctr,History of film,5,0.009040000000000001
wikipedia,random_ctr,History of film,6,0.010320000000000001
wikipedia,random_ctr,History of film,7,0.0064399999999999995
wikipedia,random_ctr,History of film,8,0.00832
wikipedia,random_ctr,History of film,9,0.007520000000000001
wikipedia,random_ctr,History of film,10,0.00756
wikipedia,random_ctr,History of film,11,0.00772
wikipedia,random_ctr,History of film,12,0.00804
wikipedia,random_ctr,History of film,13,0.00788
wikipedia,random_ctr,History of film,14,0.0078
wikipedia,random_ctr,Ketogenic diet,0,0.0072
wikipedia,random_ctr,Ketogenic diet,1,0.006720000000000001
wikipedia,random_ctr,Ketogenic diet,2,0.005800000000000001
wikipedia,random_ctr,Ketogenic diet,3,0.00668
wikipedia,random_ctr,Ketogenic diet,4,0.005200000000000001
wikipedia,random_ctr,Ketogenic diet,5,0.00556
wikipedia,random_ctr,Ketogenic diet,6,0.006279999999999999
wikipedia,random_ctr,Ketogenic diet,7,0.0050799999999999994
wikipedia,random_ctr,Ketogenic diet,8,0.0057599999999999995
wikipedia,random_ctr,Ketogenic diet,9,0.00528
wikipedia,random_ctr,Ketogenic diet,10,0.00692
wikipedia,random_ctr,Ketogenic diet,11,0.005359999999999999
wikipedia,random_ctr,Ketogenic diet,12,0.00544
wikipedia,random_ctr,Ketogenic diet,13,0.00668
wikipedia,random_ctr,Ketogenic diet,14,0.00676
wikipedia,random_ctr,Petra,0,0.009040000000000001
wikipedia,random_ctr,Petra,1,0.008
wikipedia,random_ctr,Petra,2,0.008
wikipedia,random_ctr,Petra,3,0.008799999999999999
wikipedia,random_ctr,Petra,4,0.0084
wikipedia,random_ctr,Petra,5,0.00688
wikipedia,random_ctr,Petra,6,0.00804
wikipedia,random_ctr,Petra,7,0.006959999999999999
wikipedia,random_ctr,Petra,8,0.006799999999999999
