domain,method,n_topics,iterations,initial_avg_ctr,final_avg_ctr,best_avg_ctr,improvement,peak_improvement,auc_mean_ctr
wikipedia,no_drop,10,15,0.010280000000000001,0.004037337832102538,0.010280000000000001,-0.006242662167897463,0.0,0.005815911588302764
wikipedia,random_ctr,10,15,0.010192000000000001,0.008372000000000001,0.010192000000000001,-0.0018200000000000004,0.0,0.0089544
wikipedia,partial_ctr,10,15,0.010280000000000001,0.010544,0.012192,0.0002639999999999986,0.0019119999999999988,0.010993066666666667
wikipedia,full_ctr,10,15,0.010280000000000001,0.010156,0.011935999999999999,-0.00012400000000000085,0.0016559999999999978,0.010759733333333332
wikipedia,explore_exploit,10,15,0.010079999999999999,0.010784,0.011716,0.0007040000000000015,0.001636000000000002,0.010836266666666667
ecommerce,no_drop,10,15,0.005384,0.002370395173453997,0.005384,-0.003013604826546003,0.0,0.0035321300393506274
ecommerce,random_ctr,10,15,0.0054199999999999995,0.007091999999999999,0.008015999999999999,0.0016719999999999999,0.0025959999999999993,0.0068922666666666665
ecommerce,partial_ctr,10,15,0.005384,0.007784000000000001,0.008652,0.002400000000000001,0.003268,0.007429066666666667
ecommerce,full_ctr,10,15,0.005384,0.0066960000000000006,0.007532,0.0013120000000000007,0.0021479999999999997,0.006602666666666667
ecommerce,explore_exploit,10,15,0.005384,0.006927999999999999,0.007696,0.0015439999999999994,0.002312,0.0067488
