iteration,avg_ctr,topic,domain
10,0.00677,Artificial Superintelligence,wikipedia
11,0.006840000000000001,Artificial Superintelligence,wikipedia
12,0.00677,Artificial Superintelligence,wikipedia
13,0.006749999999999999,Artificial Superintelligence,wikipedia
14,0.00679,Artificial Superintelligence,wikipedia
0,0.007299999999999999,The Beatles' rooftop concert,wikipedia
1,0.00829,The Beatles' rooftop concert,wikipedia
2,0.00842,The Beatles' rooftop concert,wikipedia
3,0.00856,The Beatles' rooftop concert,wikipedia
4,0.00875,The Beatles' rooftop concert,wikipedia
5,0.008979999999999998,The Beatles' rooftop concert,wikipedia
6,0.009499999999999998,The Beatles' rooftop concert,wikipedia
7,0.00942,The Beatles' rooftop concert,wikipedia
8,0.009249999999999998,The Beatles' rooftop concert,wikipedia
9,0.009850000000000001,The Beatles' rooftop concert,wikipedia
10,0.009349999999999997,The Beatles' rooftop concert,wikipedia
11,0.00953,The Beatles' rooftop concert,wikipedia
12,0.009700000000000002,The Beatles' rooftop concert,wikipedia
13,0.00939,The Beatles' rooftop concert,wikipedia
14,0.009519999999999997,The Beatles' rooftop concert,wikipedia
0,0.006059999999999999,Carl Jung,wikipedia
1,0.00814,Carl Jung,wikipedia
2,0.00866,Carl Jung,wikipedia
3,0.00874,Carl Jung,wikipedia
4,0.008950000000000001,Carl Jung,wikipedia
5,0.00869,Carl Jung,wikipedia
6,0.008900000000000002,Carl Jung,wikipedia
7,0.008889999999999999,Carl Jung,wikipedia
8,0.008900000000000002,Carl Jung,wikipedia
9,0.008929999999999999,Carl Jung,wikipedia
10,0.008889999999999997,Carl Jung,wikipedia
11,0.0091,Carl Jung,wikipedia
12,0.008909999999999998,Carl Jung,wikipedia
13,0.00912,Carl Jung,wikipedia
14,0.009040000000000001,Carl Jung,wikipedia

