iteration,topic,domain,method,generator_model,evaluator,user_level,avg_ctr,best_ctr,worst_ctr,median_ctr,std_ctr,pool_size,n_dropped,n_added_explore,n_added_exploit,eval_time_sec,gen_time_sec,sim_time_sec,total_time_sec,chosen_arm,reward,arm_explore_count,arm_exploit_count,arm_both_count,arm_explore_value,arm_exploit_value,arm_both_value
4,Cookware Sets,ecommerce,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.007479999999999999,0.0102,0.0048,0.0064,0.002133916586935863,5,1,1,1,47.144,2.643,0.15,49.939,both,0.00012000000000000118,2,1,2,0.0005399999999999997,0.00019999999999999966,0.0006200000000000003
5,Cookware Sets,ecommerce,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00736,0.0108,0.0046,0.0072,0.0020293841430345317,5,1,1,1,47.324,1.595,0.161,49.08,both,0.0008800000000000006,2,1,3,0.0005399999999999997,0.00019999999999999966,0.0007066666666666671
6,Cookware Sets,ecommerce,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00824,0.0102,0.0058,0.0088,0.0017453939383417147,5,1,1,1,48.328,2.237,0.178,50.743,both,-0.0006400000000000008,2,1,4,0.0005399999999999997,0.00019999999999999966,0.0003700000000000001
7,Cookware Sets,ecommerce,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00732,0.0096,0.0056,0.0072,0.001462053350599765,5,1,1,0,16.275,3.233,0.038,19.549,explore,0.0015199999999999988,3,1,4,0.000866666666666666,0.00019999999999999966,0.0003700000000000001
8,Cookware Sets,ecommerce,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00712,0.0114,0.004,0.0076,0.002612584926849269,5,1,0,1,15.878,1.072,0.041,16.993,exploit,0.0011600000000000013,3,2,4,0.000866666666666666,0.0006800000000000005,0.0003700000000000001
9,Cookware Sets,ecommerce,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00804,0.0106,0.0054,0.008,0.001656019323558756,5,1,1,0,15.637,2.34,0.043,18.021,explore,-0.0009200000000000015,4,2,4,0.0004199999999999991,0.0006800000000000005,0.0003700000000000001
10,Cookware Sets,ecommerce,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00712,0.0094,0.0046,0.0074,0.0015879546593023368,5,1,0,1,15.848,0.864,0.038,16.75,exploit,0.0011199999999999995,4,3,4,0.0004199999999999991,0.0008266666666666668,0.0003700000000000001
11,Cookware Sets,ecommerce,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00884,0.01,0.0072,0.0088,0.0009329523031752483,5,1,0,1,15.719,0.711,0.053,16.484,exploit,-0.0014400000000000012,4,4,4,0.0004199999999999991,0.0002599999999999998,0.0003700000000000001
12,Cookware Sets,ecommerce,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.00856,0.0114,0.007,0.0084,0.0015409088227406578,5,1,1,0,14.624,3.763,0.043,18.431,explore,-0.0003599999999999992,5,4,4,0.0002639999999999994,0.0002599999999999998,0.0003700000000000001
13,Cookware Sets,ecommerce,bandit_epsilon,gpt-4o-mini,film_best_dimensions_mpnet,True,0.0088,0.0112,0.0074,0.008,0.001414213562373095,5,1,1,1,14.523,3.214,0.04,17.778,both,-0.0010800000000000002,5,4,5,0.0002639999999999994,0.0002599999999999998,8.000000000000005e-05
